client_id,clnt_tenure_yr,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,bal_category,account_since_child
2341060,12,31,M,2,39123.96,2,5,medio,no
2341202,15,40,M,2,55741.38,0,3,medio,no
2341335,6,33,U,3,973761.64,6,9,alto,no
2341436,8,34,U,2,26027.96,0,3,bajo,no
2341480,7,56,U,2,27111.17,0,3,bajo,no
2341607,10,24,M,2,49278.85,5,8,medio,yes
2341792,16,74,M,2,53054.89,2,5,medio,no
2341832,13,28,F,3,27817.26,6,9,bajo,yes
2341932,4,32,U,2,37668.09,5,8,medio,no
2342369,4,23,U,2,44496.67999999999,4,7,medio,no
2342590,11,54,F,2,73888.92,2,5,medio,no
2342626,4,50,U,2,159802.03999999998,6,9,alto,no
2342766,15,63,F,2,38319.57,0,3,medio,no
2342940,5,39,U,2,68468.32,4,7,medio,no
2343009,15,52,M,2,92849.25,0,3,medio,no
2343101,23,55,F,2,458565.68,3,6,alto,no
2343199,14,34,F,2,50274.47,3,6,medio,no
2343322,15,43,F,2,35115.16,0,3,bajo,no
2343430,12,49,F,2,61028.36,0,3,medio,no
2343695,21,21,M,2,31534.07,1,4,bajo,yes
2343902,8,48,U,2,129300.98,1,4,medio,no
2344028,8,55,M,2,73824.13,1,4,medio,no
2344790,7,44,U,2,53159.27,2,5,medio,no
2345113,12,52,F,2,34777.18,0,3,bajo,no
2345159,9,30,M,2,35038.399999999994,1,4,bajo,no
2345328,21,24,M,3,70125.65,6,9,medio,yes
2345585,11,42,M,2,44166.51,5,8,medio,no
2345882,12,38,M,2,132568.0,3,6,medio,no
2345989,7,42,U,4,91194.03,4,7,medio,no
2346012,14,41,F,2,87722.76,4,7,medio,no
2346401,11,39,U,2,193051.5,0,3,alto,no
2346504,25,61,M,3,141655.41999999998,4,7,alto,no
2346575,15,75,M,2,61693.2,4,7,medio,no
2346576,9,53,M,2,35325.0,5,8,bajo,no
2346755,17,53,F,3,665886.52,6,9,alto,no
2346767,8,47,F,2,48594.42999999999,6,9,medio,no
2346854,7,60,U,2,65636.79999999999,1,4,medio,no
2346934,13,60,M,2,126703.67,0,3,medio,no
2346970,12,63,F,2,40390.78999999999,0,3,medio,no
2347026,6,46,U,2,495916.26,4,7,alto,no
2347179,5,25,U,2,34702.08,5,8,bajo,no
2347584,13,60,F,2,25678.79,3,6,bajo,no
2348065,14,36,M,2,41471.8,3,6,medio,no
2348380,26,46,M,3,126767.55,6,9,medio,no
2348515,18,54,F,3,169140.43,6,9,alto,no
2348609,15,45,M,2,105440.42,5,8,medio,no
2348840,24,60,F,2,63240.13,0,3,medio,no
2349303,10,56,F,2,72329.4,1,4,medio,no
2349326,10,63,M,2,30710.92,0,3,bajo,no
2349517,20,57,F,2,29438.4,5,8,bajo,no
2349521,6,61,U,2,37230.82,6,9,bajo,no
2350690,4,28,U,4,37184.14,5,8,bajo,no
2351335,20,58,F,2,66937.48,0,5,medio,no
2351400,19,41,U,2,55717.02,2,5,medio,no
2351870,17,44,F,4,140024.02000000002,6,9,alto,no
2351894,5,33,U,2,46964.48,2,5,medio,no
2351990,12,51,M,3,333914.82,4,7,alto,no
2352141,9,31,F,2,28315.14,0,3,bajo,no
2352309,24,56,F,2,143139.19,6,9,alto,no
2352363,14,23,M,2,23865.08,1,4,bajo,yes
2352899,20,43,U,2,132520.91999999998,3,6,medio,no
2352957,17,66,M,2,89407.38,2,7,medio,no
2353193,21,59,M,3,193374.11,6,9,alto,no
2353442,16,41,F,2,38452.66,0,3,medio,no
2353480,6,34,U,2,27212.86,2,5,bajo,no
2353550,13,29,F,2,45682.8,2,5,medio,yes
2353620,7,68,U,2,222838.8,6,9,alto,no
2353743,7,58,F,2,215623.04,6,9,alto,no
2353745,9,36,M,2,30442.72,4,7,bajo,no
2354204,16,52,M,2,48254.03999999999,2,5,medio,no
2354227,13,45,M,4,283907.17,6,9,alto,no
2354284,14,59,M,2,136458.46,3,6,medio,no
2354414,7,38,U,3,767141.4700000001,2,5,alto,no
2354616,14,45,M,2,147352.09999999998,5,8,alto,no
2354722,5,38,U,2,33818.61,3,6,bajo,no
2354893,4,56,U,2,56030.61,4,7,medio,no
2355218,13,82,M,2,70688.45999999999,1,4,medio,no
2355414,5,26,U,2,29043.63,1,4,bajo,no
2355590,18,62,M,2,311593.62,5,8,alto,no
2355748,18,58,M,2,232814.8,2,5,alto,no
2356366,6,53,U,4,292999.84,2,5,alto,no
2356445,14,71,F,2,96687.93,5,8,medio,no
2357486,7,29,U,2,60538.68,1,4,medio,no
2357490,4,49,U,2,38167.76,2,5,medio,no
2357832,10,50,F,3,352966.33,1,4,alto,no
2358419,13,32,F,2,23906.68,1,4,bajo,no
2359034,7,20,U,2,27455.03,0,4,bajo,yes
2359159,12,39,F,2,152555.47999999998,5,8,alto,no
2359229,6,29,U,2,56538.23,4,7,medio,no
2359280,6,52,U,2,112867.65,3,6,medio,no
2359427,17,49,M,2,225183.54,4,7,alto,no
2359598,7,56,U,2,39405.62,0,3,medio,no
2359607,12,67,F,2,643782.15,5,8,alto,no
2359722,12,53,M,2,97661.13,6,9,medio,no
2359936,8,60,U,2,66209.68,0,3,medio,no
2360447,22,43,F,3,154802.0,6,9,alto,no
2360532,15,25,F,2,43317.91,6,9,medio,yes
2360934,7,60,U,2,91115.39,1,4,medio,no
2361360,23,61,F,2,48251.32,6,9,medio,no
2361377,9,64,F,2,225442.25,3,6,alto,no
2361582,12,52,F,3,58725.24,5,8,medio,no
2361758,14,50,M,3,464950.9,6,9,alto,no
2361790,5,28,U,2,71733.13,2,5,medio,no
2361862,8,44,F,2,29502.15,4,7,bajo,no
2362248,6,52,U,2,34504.25,6,9,bajo,no
2362808,7,46,U,2,53802.66,1,4,medio,no
2362826,5,60,U,4,281318.17,6,9,alto,no
2363091,8,36,F,2,66368.16,1,4,medio,no
2363138,6,63,U,2,53632.96,5,8,medio,no
2363257,20,67,U,2,197139.45,5,8,alto,no
2363600,9,46,F,2,76227.65,1,4,medio,no
2363614,6,54,U,2,33059.69,6,9,bajo,no
2363701,23,72,F,2,98644.89,4,7,medio,no
2363857,16,48,M,2,24395.61,6,9,bajo,no
2364227,7,30,U,2,33263.7,0,3,bajo,no
2365020,8,31,U,2,79518.68,6,9,medio,no
2365141,15,46,M,2,131271.38,5,8,medio,no
2365190,5,29,U,3,30376.22,3,6,bajo,no
2365265,10,44,F,2,122469.09,4,7,medio,no
2365273,8,56,M,2,42884.33,6,9,medio,no
2365348,8,27,F,2,24152.68,4,7,bajo,no
2365440,18,42,F,4,72482.28,6,9,medio,no
2365737,9,57,F,2,81233.26,6,9,medio,no
2365879,5,56,U,2,49768.05,1,4,medio,no
2365886,21,75,M,3,234993.23,4,7,alto,no
2366018,4,55,M,2,30836.54,5,8,bajo,no
2366463,15,82,F,2,150940.26,4,7,alto,no
2366940,5,41,U,2,65116.34,2,5,medio,no
2367065,6,26,M,2,45734.2,6,9,medio,no
2367084,5,65,M,2,45970.19,0,3,medio,no
2367184,6,34,U,2,48349.78999999999,6,9,medio,no
2367390,15,44,M,2,301611.33,3,6,alto,no
2367706,7,25,U,3,97725.5,6,9,medio,no
2367906,5,62,U,2,31400.62,6,9,bajo,no
2368030,9,47,F,2,34391.45,3,6,bajo,no
2368093,6,36,U,2,68724.79000000001,3,6,medio,no
2368114,13,68,F,2,64504.18,5,8,medio,no
2368143,5,65,U,2,58117.61,1,4,medio,no
2368241,15,80,F,2,144551.53,3,6,alto,no
2368293,25,25,F,2,102774.39,6,9,medio,yes
2368301,15,55,U,2,28551.98,0,3,bajo,no
2368346,8,56,M,2,55321.98,1,4,medio,no
2368401,17,62,F,2,31676.38,3,6,bajo,no
2368419,5,26,U,3,70585.23,2,5,medio,no
2368690,6,37,U,3,50438.55,0,3,medio,no
2368987,5,54,U,2,44408.87,2,5,medio,no
2369039,13,45,F,2,41333.51,3,6,medio,no
2369284,5,23,U,2,52039.38,2,5,medio,no
2369775,5,27,U,2,29898.16,2,5,bajo,no
2369831,14,94,U,2,174410.49,0,3,alto,no
2369934,5,26,U,2,31285.06,5,8,bajo,no
2370158,16,35,M,2,195192.98,4,8,alto,no
2370481,6,53,U,2,34326.75,3,6,bajo,no
2370747,31,89,F,3,384724.33,2,6,alto,no
2370900,7,32,U,2,41912.87,5,8,medio,no
2371126,6,60,U,2,119842.52,5,8,medio,no
2371133,15,46,M,2,37251.91,6,9,bajo,no
2371270,11,49,M,3,78624.57,6,9,medio,no
2371463,15,73,F,2,129527.8,3,6,medio,no
2371536,4,41,U,2,123661.32,1,4,medio,no
